Index,Round,Institution,Program,Degree,Quota,Category,Gender,Opening Rank,Closing Rank,Institution 2,Program 2,Degree 2,Quota 2,Category 2,Gender 2,Opening Rank 2,Closing Rank 2
1.0,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,SC(AF),Both Male and Female Seats,1186728.0,1186728.0,,,,,,,,
,,,,,,,,,,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electrical & Computer Engg.,B.Tech,Home State,BC,Both Male and Female Seats,311590.0
3.0,Round 1,"RAJKIYA ENGINEERING COLLEGE, PARTAPGARH",Civil Engineering,B.Tech,Home State,SC,Both Male and Female Seats,1006128.0,1409446.0,,,,,,,,
,,,,,,,,,,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,71375.0
5.0,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Electronics Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,141669.0,224258.0,,,,,,,,
,,,,,,,,,,Round 1,"SANSKAR COLLEGE OF ENGINEERING & TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,399460.0
7.0,Round 1,"UNITED INSTITUTE OF TECHNOLOGY,ALLAHABAD",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,147516.0,1146828.0,,,,,,,,
,,,,,,,,,,Round 1,"BUDDHA INSTITUTE OF TECHNOLOGY,GORAKHPUR",Computer Science,B.Tech,Home State,OPEN(GIRL),Female Seats,1286464.0
9.0,Round 1,"BUDDHA INSTITUTE OF TECHNOLOGY,GORAKHPUR",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,1111467.0,1111467.0,,,,,,,,
,,,,,,,,,,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Computer Science and Engineering,B.Tech,Home State,SC(Girl),Female Seats,253199.0
11.0,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Computer Science and Engineering,B.Tech,Home State,SC,Both Male and Female Seats,201117.0,385993.0,,,,,,,,
,,,,,,,,,,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Electrical Engineering,B.Tech,Home State,BC(Girl),Female Seats,526490.0
13.0,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,269882.0,320947.0,,,,,,,,
,,,,,,,,,,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Computer Science and Engineering,B.Tech,Home State,ST,Both Male and Female Seats,1258081.0
15.0,Round 1,"RAJKIYA ENGINEERING COLLEGE, PARTAPGARH",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,272523.0,433216.0,,,,,,,,
,,,,,,,,,,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Civil Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,417484.0
